target_id	length	eff_length	est_counts	tpm
BGER000001-RA	1610	1102.67	86.0569	4.54423
BGER000002-RA	279	48.3358	140	168.647
BGER000003-RA	633	171.259	136	46.2386
BGER000004-RA	850	348.709	50	8.34885
BGER000005-RA	354	40.4477	13	18.7141
BGER000006-RA	1584	1076.67	106	5.73249
BGER000007-RA	1170	662.669	73	6.41426
BGER000008-RA	3057	2549.67	718	16.3969
BGER000009-RA	1167	659.669	127	11.2098
BGER000010-RA	2030	1522.67	288	11.013
BGER000011-RA	1332	824.669	0	0
BGER000012-RA	2308	1800.67	555	17.9465
BGER000013-RA	2334	1826.67	105	3.34695
BGER000014-RA	5616	5108.67	19	0.216554
BGER000015-RA	1802	1294.67	59	2.65346
BGER000016-RA	588	143.906	131	53.0044
BGER000017-RA	3297	2789.67	375	7.82706
BGER000018-RA	207	55	56	59.285
BGER000019-RA	6354	5846.67	838	8.34556
BGER000020-RA	2793	2285.67	0	0
BGER000021-RA	1254	746.669	854	66.5963
BGER000022-RA	1047	539.669	483	52.1122
BGER000023-RA	2395	1887.67	0	0
BGER000024-RA	279	48.3358	0	0
BGER000025-RA	1149	641.669	0	0
BGER000026-RA	909	404.419	470	67.6684
BGER000027-RA	1271	763.669	270	20.5863
BGER000028-RA	960	453.471	0	0
BGER000029-RA	1023	515.669	18	2.03246
BGER000030-RA	388	52.9889	4	4.39537
BGER000031-RA	1318	810.669	25	1.79563
BGER000032-RA	966	459.38	0	0
BGER000033-RA	648	181.07	4.60983	1.48238
BGER000034-RA	5152	4644.67	158.067	1.98156
BGER000035-RA	636	173.303	432	145.143
BGER000036-RA	1815	1307.67	933	41.5436
BGER000037-RA	3132	2624.67	1172	26
BGER000038-RA	450	78.0307	0	0
BGER000039-RA	3421	2913.67	14.4064	0.287896
BGER000040-RA	906	401.541	0	0
BGER000041-RA	2733	2225.67	643.467	16.8339
BGER000042-RA	2384	1876.67	493.533	15.3126
BGER000043-RA	714	229.424	6	1.52276
BGER000044-RA	564	130.391	0	0
BGER000045-RA	1110	602.669	283	27.3418
BGER000046-RA	2307	1799.67	295	9.54441
BGER000047-RA	324	31.3482	0	0
BGER000048-RA	537	116.58	0	0
BGER000049-RA	1047	539.669	0	0
BGER000050-RA	1098	590.669	0	0
