target_id	length	eff_length	est_counts	tpm
BGER000001-RA	1610	1146.39	37	3.12707
BGER000002-RA	279	41.9333	63.903	147.649
BGER000003-RA	633	194.032	58	28.9616
BGER000004-RA	850	388.534	24	5.98482
BGER000005-RA	354	39.1351	12	29.7087
BGER000006-RA	1584	1120.39	29	2.50783
BGER000007-RA	1170	706.388	19	2.60602
BGER000008-RA	3057	2593.39	362	13.5241
BGER000009-RA	1167	703.388	119	16.3915
BGER000010-RA	2030	1566.39	312	19.2985
BGER000011-RA	1332	868.388	1	0.111572
BGER000012-RA	2308	1844.39	512	26.8959
BGER000013-RA	2334	1870.39	59	3.05625
BGER000014-RA	5616	5152.39	6	0.112826
BGER000015-RA	1802	1338.39	68	4.9226
BGER000016-RA	588	160.486	69	41.6561
BGER000017-RA	3297	2833.39	244	8.34357
BGER000018-RA	207	44.4516	15	32.6943
BGER000019-RA	6354	5890.39	351	5.7734
BGER000020-RA	2793	2329.39	0	0
BGER000021-RA	1254	790.388	584	71.588
BGER000022-RA	1047	583.388	316	52.4805
BGER000023-RA	2395	1931.39	8	0.401318
BGER000024-RA	279	41.9333	0	0
BGER000025-RA	1149	685.388	1	0.141362
BGER000026-RA	909	446.214	190.452	41.3533
BGER000027-RA	1271	807.388	222	26.6403
BGER000028-RA	960	496.7	1	0.195063
BGER000029-RA	1023	559.388	20	3.46406
BGER000030-RA	388	53.2197	2	3.64104
BGER000031-RA	1318	854.388	21	2.3814
BGER000032-RA	966	502.65	0	0
BGER000033-RA	648	206.058	1.22498	0.575982
BGER000034-RA	5152	4688.39	101.215	2.09165
BGER000035-RA	636	196.433	156	76.9445
BGER000036-RA	1815	1351.39	354	25.38
BGER000037-RA	3132	2668.39	596	21.6404
BGER000038-RA	450	82.2771	0	0
BGER000039-RA	3421	2957.39	11.0717	0.362722
BGER000040-RA	906	443.214	0	0
BGER000041-RA	2733	2269.39	287.893	12.2911
BGER000042-RA	2384	1920.39	156.107	7.8759
BGER000043-RA	714	261.64	13	4.81402
BGER000044-RA	564	144.095	0	0
BGER000045-RA	1110	646.388	94	14.0897
BGER000046-RA	2307	1843.39	103	5.41363
BGER000047-RA	324	29.6428	0	0
BGER000048-RA	537	126.652	0	0
BGER000049-RA	1047	583.388	0	0
BGER000050-RA	1098	634.388	0	0
BGER000051-RA	474	92.3869	2	2.09743
BGER000052-RA	1572	1108.39	19	1.66085
BGER000053-RA	411	63.9834	7	10.5998
BGER000054-RA	1299	835.388	46	5.33504
BGER000055-RA	1638	1174.39	58.816	4.85235
BGER000056-RA	456	84.9688	2	2.28054
BGER000057-RA	1743	1279.39	120	9.08755
BGER000058-RA	953	489.749	88	17.4091
BGER000059-RA	1173	709.388	0	0
BGER000060-RA	543	130.544	0	0
BGER000061-RA	342	34.4181	19.7611	55.6277
BGER000062-RA	570	148.063	0	0
BGER000063-RA	693	243.455	1	0.397969
BGER000064-RA	757	300.365	1	0.322566
BGER000065-RA	357	40.3419	9	21.6149
BGER000066-RA	885	422.564	58	13.2985
BGER000067-RA	1017	553.388	0	0
BGER000068-RA	867	405.057	2	0.47839
BGER000069-RA	686	237.691	33	13.4515
BGER000070-RA	1686	1222.39	11	0.87187
BGER000071-RA	996	532.495	0	0
BGER000072-RA	276	40.7849	4	9.5023
BGER000073-RA	586	159.01	164	99.9278
BGER000074-RA	969	505.65	121	23.1848
BGER000075-RA	177	38.75	61	152.52
BGER000076-RA	1119	655.388	40	5.91329
BGER000077-RA	213	48.9062	18	35.6596
BGER000078-RA	993	529.495	7	1.28087
BGER000079-RA	1549	1085.39	75	6.6949
BGER000080-RA	3908	3444.39	430.741	12.1164
BGER000081-RA	1530	1066.39	146	13.265
BGER000082-RA	561	141.924	27	18.4321
BGER000083-RA	909	446.214	42	9.11956
BGER000084-RA	261	43.3514	0	0
BGER000085-RA	1342	878.388	77	8.49322
BGER000086-RA	834	373.068	492	127.775
BGER000087-RA	1374	910.388	2	0.212849
BGER000088-RA	1032	568.388	2	0.34092
BGER000089-RA	543	130.544	0	0
BGER000090-RA	1061	597.388	533	86.4448
BGER000091-RA	225	42.3542	0	0
BGER000092-RA	2790	2326.39	0	0
BGER000093-RA	222	45.0714	1	2.14965
BGER000094-RA	222	45.0714	0	0
BGER000095-RA	222	45.0714	0	0
BGER000096-RA	222	45.0714	1	2.14965
BGER000097-RA	1078	614.388	29	4.57323
BGER000098-RA	783	324.693	18	5.37116
BGER000099-RA	1044	580.388	17	2.83791
BGER000100-RA	912	449.125	27	5.82458
BGER000101-RA	419	67.6418	176	252.096
BGER000102-RA	2859	2395.39	190.059	7.68744
BGER000103-RA	973	509.65	377	71.67
BGER000104-RA	1534	1070.39	11	0.995679
BGER000105-RA	1311	847.388	155	17.7222
BGER000106-RA	654	210.846	24	11.0284
BGER000107-RA	1224	760.388	38	4.84191
BGER000108-RA	831	370.218	24	6.28091
BGER000109-RA	660	215.953	84	37.6866
BGER000110-RA	864	402.137	40	9.63726
BGER000111-RA	824	363.661	68	18.1168
BGER000112-RA	621	184.561	295.988	155.383
BGER000113-RA	1851	1387.39	17.8951	1.2497
BGER000114-RA	705	253.95	15	5.72284
BGER000115-RA	3927	3463.39	88	2.46178
BGER000116-RA	1983	1519.39	57	3.63475
BGER000117-RA	828	367.477	195	51.413
BGER000118-RA	4470	4006.39	186	4.49809
BGER000119-RA	1711	1247.39	264.552	20.5484
BGER000120-RA	2451	1987.39	1	0.0487512
BGER000121-RA	1489	1025.39	2	0.188977
BGER000122-RA	830	369.218	1	0.262413
BGER000123-RA	552	135.931	0	0
BGER000124-RA	1339	875.388	5	0.553398
BGER000125-RA	6621	6157.39	231	3.63483
BGER000126-RA	552	135.931	0	0
BGER000127-RA	486	98.1394	0	0
BGER000128-RA	684	236.039	9	3.69426
BGER000129-RA	1020	556.388	3	0.52241
BGER000130-RA	1923	1459.39	112	7.43559
BGER000131-RA	867	405.057	52	12.4381
BGER000132-RA	394	55.8466	0	0
BGER000133-RA	621	184.561	0	0
BGER000134-RA	582	156.441	4	2.4773
BGER000135-RA	2154	1690.39	52	2.98047
BGER000136-RA	1002	538.388	3.92937	0.707125
BGER000137-RA	525	119.227	2.68197	2.17945
BGER000138-RA	1263	799.388	1	0.121202
BGER000139-RA	1433	969.388	85	8.49551
BGER000140-RA	2232	1768.39	900	49.3098
BGER000141-RA	396	56.9212	51	86.8089
BGER000142-RA	1402	938.388	0	0
BGER000143-RA	3009	2545.39	0	0
BGER000144-RA	1119	655.388	0	0
BGER000145-RA	3018	2554.39	19	0.720667
BGER000146-RA	624	186.88	30	15.5534
BGER000147-RA	333	31.8948	0	0
BGER000148-RA	2621	2157.39	4	0.179639
BGER000149-RA	2187	1723.39	4	0.224877
BGER000150-RA	1392	928.388	23	2.4003
BGER000151-RA	1820	1356.39	229	16.3576
BGER000152-RA	2303	1839.39	33	1.73824
BGER000153-RA	2305	1841.39	3	0.15785
BGER000154-RA	785	326.594	160	47.4657
BGER000155-RA	1716	1252.39	138	10.676
BGER000156-RA	2253	1789.39	195	10.5584
BGER000157-RA	1002	538.388	90	16.1963
BGER000158-RA	305	27.731	0	0
BGER000159-RA	1350	886.388	348	38.0385
BGER000160-RA	507	109.163	59	52.3655
BGER000161-RA	1110	646.388	26	3.89716
BGER000162-RA	1716	1252.39	0	0
BGER000163-RA	222	45.0714	0	0
BGER000164-RA	1494	1030.39	70	6.58211
BGER000165-RA	3663	3199.39	197.927	5.99384
BGER000166-RA	404	60.7112	0	0
BGER000167-RA	720	267.012	0	0
BGER000168-RA	360	41.5194	3	7.00064
BGER000169-RA	303	28.6172	0	0
BGER000170-RA	1710	1246.39	48	3.73126
BGER000171-RA	1947	1483.39	0	0
BGER000172-RA	1818	1354.39	7	0.500752
BGER000173-RA	1317	853.388	414	47.0026
BGER000174-RA	1455	991.388	855	83.5585
BGER000175-RA	537	126.652	13	9.94488
BGER000176-RA	942	478.893	0	0
BGER000177-RA	929	465.987	204	42.4155
BGER000178-RA	1880	1416.39	702	48.0201
BGER000179-RA	393	55.53	17	29.6612
BGER000180-RA	1958	1494.39	143	9.2713
BGER000181-RA	378	49.6926	3	5.84922
BGER000182-RA	231	39.45	26	63.8549
BGER000183-RA	471	91.2944	0	0
BGER000184-RA	435	74.9159	1	1.29328
BGER000185-RA	336	32.8679	0	0
BGER000186-RA	465	88.7074	0	0
BGER000187-RA	2052	1588.39	101	6.16074
BGER000188-RA	471	91.2944	0	0
BGER000189-RA	444	79.483	0	0
BGER000190-RA	963	499.65	0	0
BGER000191-RA	1251	787.388	0	0
BGER000192-RA	306	27.8584	22	76.5129
BGER000193-RA	150	53.2857	0	0
BGER000194-RA	642	200.961	3	1.44637
BGER000195-RA	674	227.431	8	3.40807
BGER000196-RA	5315	4851.39	343	6.85009
BGER000197-RA	1542	1078.39	122	10.9611
BGER000198-RA	324	29.6428	40	130.74
BGER000199-RA	876	413.73	58	13.5825
BGER000200-RA	1716	1252.39	1.19706	0.0926074
BGER000201-RA	186	34.7391	1	2.789
BGER000202-RA	1234	770.388	0	0
BGER000203-RA	1266	802.388	0	0
BGER000204-RA	1857	1393.39	4	0.278135
BGER000205-RA	1053	589.388	1	0.164387
BGER000206-RA	570	148.063	5	3.27184
BGER000207-RA	378	49.6926	0	0
BGER000208-RA	421	68.4159	0	0
BGER000209-RA	588	160.486	6	3.62227
BGER000210-RA	1104	640.388	0	0
BGER000211-RA	1017	553.388	1	0.175081
BGER000212-RA	1275	811.388	0	0
BGER000213-RA	624	186.88	5	2.59223
BGER000214-RA	432	73.6601	0	0
BGER000215-RA	3768	3304.39	353	10.3503
BGER000216-RA	2769	2305.39	278	11.6834
BGER000217-RA	759	302.212	125	40.0743
BGER000218-RA	678	230.777	31	13.0148
BGER000219-RA	2271	1807.39	108.306	5.80592
BGER000220-RA	1082	618.388	62	9.71401
BGER000221-RA	660	215.953	27	12.1136
BGER000222-RA	610	175.978	3	1.6517
BGER000223-RA	1525	1061.39	80	7.30271
BGER000224-RA	1878	1414.39	3	0.205504
BGER000225-RA	639	198.808	0	0
BGER000226-RA	1878	1414.39	200	13.7003
BGER000227-RA	1662	1198.39	453	36.6243
BGER000228-RA	845	383.727	2	0.504982
BGER000229-RA	1025	561.388	45	7.76636
BGER000230-RA	1149	685.388	1	0.141362
BGER000231-RA	645	203.478	45.2315	21.5373
BGER000232-RA	1061	597.388	389	63.0901
BGER000233-RA	480	95.2416	165	167.851
BGER000234-RA	756	299.426	0	0
BGER000235-RA	1107	643.388	131	19.7272
BGER000236-RA	498	104.384	0	0
BGER000237-RA	1134	670.388	112	16.1868
BGER000238-RA	1464	1000.39	76	7.3606
BGER000239-RA	1632	1168.39	61	5.05837
BGER000240-RA	901	438.347	88	19.4506
BGER000241-RA	493	101.368	0	0
BGER000242-RA	678	230.777	21	8.81646
BGER000243-RA	1445	981.388	113.563	11.2115
BGER000244-RA	446	80.3292	55	66.3372
BGER000245-RA	1228	764.388	150	19.0128
BGER000246-RA	1424	960.388	145	14.6281
BGER000247-RA	297	34.1988	2	5.66613
BGER000248-RA	1080	616.388	55	8.64523
BGER000249-RA	360	41.5194	32	74.6735
BGER000250-RA	2622	2158.39	713	32.0058
BGER000251-RA	1047	583.388	198	32.8833
BGER000252-RA	363	42.8287	0	0
BGER000253-RA	936	472.893	6	1.2293
BGER000254-RA	923	460.08	395	83.1825
BGER000255-RA	870	407.812	373	88.6169
BGER000256-RA	1390	926.388	125	13.0733
BGER000257-RA	878	415.605	21.658	5.04901
BGER000258-RA	1174	710.388	134	18.2758
BGER000259-RA	2352	1888.39	330	16.9313
BGER000260-RA	617	181.275	0	0
BGER000261-RA	8741	8277.39	230.213	2.69467
BGER000262-RA	607	173.946	0	0
BGER000263-RA	928	464.987	1	0.208366
BGER000264-RA	1766	1302.39	89	6.62091
BGER000265-RA	390	53.9685	10	17.9526
BGER000266-RA	466	89.1064	68	73.9381
BGER000267-RA	1905	1441.39	0	0
BGER000268-RA	774	316.083	0	0
BGER000269-RA	452	83.1773	4.54364	5.29258
BGER000270-RA	1026	562.388	6.01769	1.03672
BGER000271-RA	1008	544.388	0	0
BGER000272-RA	766	308.623	0	0
BGER000273-RA	1881	1417.39	3	0.205069
BGER000274-RA	492	100.873	0	0
BGER000275-RA	1222	758.388	3	0.383264
BGER000276-RA	798	338.652	620	177.38
BGER000277-RA	2601	2137.39	13	0.589289
BGER000278-RA	1239	775.388	0	0
BGER000279-RA	681	233.435	0	0
BGER000280-RA	3062	2598.39	36.6792	1.36768
BGER000281-RA	1583	1119.39	704	60.9341
BGER000282-RA	1784	1320.39	25	1.83445
BGER000283-RA	663	218.373	2	0.887358
BGER000284-RA	1212	748.388	26	3.366
BGER000285-RA	582	156.441	0	0
BGER000286-RA	456	84.9688	15	17.1041
BGER000287-RA	963	499.65	6	1.16346
BGER000288-RA	2586	2122.39	33	1.50646
BGER000289-RA	1434	970.388	3.00166	0.299698
BGER000290-RA	3099	2635.39	16	0.588225
BGER000291-RA	594	164.444	3	1.76755
BGER000292-RA	1611	1147.39	6	0.506651
BGER000293-RA	759	302.212	5	1.60297
BGER000294-RA	2615	2151.39	17.093	0.769781
BGER000295-RA	2445	1981.39	4	0.195595
BGER000296-RA	732	277.422	0	0
BGER000297-RA	565	144.652	0	0
BGER000298-RA	447	80.8781	0	0
BGER000299-RA	1385	921.388	234	24.606
BGER000300-RA	1287	823.388	8	0.941355
BGER000301-RA	1057	593.388	0	0
BGER000302-RA	1071	607.388	102	16.2705
BGER000303-RA	714	261.64	0	0
BGER000304-RA	2147	1683.39	721.774	41.5418
BGER000305-RA	3581	3117.39	266	8.26721
BGER000306-RA	291	43.513	0	0
BGER000307-RA	551	135.326	0	0
BGER000308-RA	1276	812.388	36.3279	4.33257
BGER000309-RA	899	436.39	0	0
BGER000310-RA	1164	700.388	0	0
BGER000311-RA	1401	937.388	43	4.44444
BGER000312-RA	698	247.815	0	0
BGER000313-RA	1313	849.388	24	2.73762
BGER000314-RA	281	43.0109	24	54.0631
BGER000315-RA	844	382.727	147	37.2131
BGER000316-RA	2239	1775.39	7	0.382008
BGER000317-RA	585	158.253	0	0
BGER000318-RA	975	511.65	0	0
BGER000319-RA	1111	647.388	0	0
BGER000320-RA	248	45.0127	22	47.3539
BGER000321-RA	399	58.5038	0	0
BGER000322-RA	1047	583.388	269.82	44.811
BGER000323-RA	7503	7039.39	174.951	2.40796
BGER000324-RA	4733	4269.39	80	1.81548
BGER000325-RA	267	39.014	4	9.93363
BGER000326-RA	1776	1312.39	7.37359	0.544358
BGER000327-RA	3915	3451.39	413.505	11.6079
BGER000328-RA	955	491.7	120	23.6455
BGER000329-RA	492	100.873	74	71.076
