target_id	length	eff_length	est_counts	tpm
BGER000001-RA	1610	855.742	33	5.39168
BGER000002-RA	279	78.5625	15	26.6949
BGER000003-RA	633	130.952	66	70.4667
BGER000004-RA	850	177.348	12	9.46035
BGER000005-RA	354	47.4958	5	14.7186
BGER000006-RA	1584	829.742	52	8.7622
BGER000007-RA	1170	415.742	41	13.7884
BGER000008-RA	3057	2302.74	392	23.8009
BGER000009-RA	1167	412.742	114	38.6171
BGER000010-RA	2030	1275.74	344	37.7006
BGER000011-RA	1332	577.742	0	0
BGER000012-RA	2308	1553.74	404	36.3543
BGER000013-RA	2334	1579.74	57	5.04477
BGER000014-RA	5616	4861.74	15	0.431372
BGER000015-RA	1802	1047.74	44	5.87153
BGER000016-RA	588	122.641	40	45.6014
BGER000017-RA	3297	2542.74	149	8.19288
BGER000018-RA	207	76	14	25.7553
BGER000019-RA	6354	5599.74	585	14.6063
BGER000020-RA	2793	2038.74	5	0.342894
BGER000021-RA	1254	499.742	522	146.042
BGER000022-RA	1047	292.742	155	74.0287
BGER000023-RA	2395	1640.74	0	0
BGER000024-RA	279	78.5625	0	0
BGER000025-RA	1149	394.742	0	0
BGER000026-RA	909	199.051	145	101.849
BGER000027-RA	1271	516.742	48	12.9873
BGER000028-RA	960	222.788	0	0
BGER000029-RA	1023	268.742	26	13.5267
BGER000030-RA	388	61.7762	3	6.78974
BGER000031-RA	1318	563.742	23	5.70427
BGER000032-RA	966	226.105	0	0
BGER000033-RA	648	134.357	2.40919	2.50706
BGER000034-RA	5152	4397.74	102.264	3.25123
BGER000035-RA	636	131.498	124	131.842
BGER000036-RA	1815	1060.74	528	69.5948
BGER000037-RA	3132	2377.74	600	35.2809
BGER000038-RA	450	81.9663	0	0
BGER000039-RA	3421	2666.74	6.52906	0.342312
BGER000040-RA	906	197.757	0	0
BGER000041-RA	2733	1978.74	331.267	23.4068
BGER000042-RA	2384	1629.74	423.733	36.3518
BGER000043-RA	714	143.403	2	1.94995
BGER000044-RA	564	117.446	0	0
BGER000045-RA	1110	355.742	209	82.1418
BGER000046-RA	2307	1552.74	189	17.0183
BGER000047-RA	324	45.3256	0	0
BGER000048-RA	537	110.937	0	0
BGER000049-RA	1047	292.742	0	0
BGER000050-RA	1098	343.742	0	0
BGER000051-RA	474	92.5865	4	6.04039
BGER000052-RA	1572	817.742	45	7.69395
BGER000053-RA	411	68.2117	1	2.04972
BGER000054-RA	1299	544.742	86	22.073
BGER000055-RA	1638	883.742	188.691	29.8523
BGER000056-RA	456	84.2159	0	0
BGER000057-RA	1743	988.742	207	29.2712
BGER000058-RA	953	219.257	125	79.7093
BGER000059-RA	1173	418.742	0	0
BGER000060-RA	543	112.117	0	0
BGER000061-RA	342	45.2656	5.9778	18.464
BGER000062-RA	570	119.753	2	2.33505
BGER000063-RA	693	139.495	0	0
BGER000064-RA	757	151.798	3	2.76317
BGER000065-RA	357	48.7287	3	8.60773
BGER000066-RA	885	190.058	40	29.4257
BGER000067-RA	1017	262.742	0	0
BGER000068-RA	867	183.659	0	0
BGER000069-RA	686	138.975	17	17.1027
BGER000070-RA	1686	931.742	11	1.65063
BGER000071-RA	996	243.036	0	0
BGER000072-RA	276	78.0323	1.12045	2.00758
BGER000073-RA	586	122.192	244	279.19
BGER000074-RA	969	227.594	151	92.7618
BGER000075-RA	177	72	14	27.1862
BGER000076-RA	1119	364.742	20	7.6665
BGER000077-RA	213	76.3571	7	12.8174
BGER000078-RA	993	240.96	4	2.32096
BGER000079-RA	1549	794.742	53	9.32401
BGER000080-RA	3908	3153.74	312.794	13.8671
BGER000081-RA	1530	775.742	106	19.1048
BGER000082-RA	561	116.97	23	27.492
BGER000083-RA	909	199.051	26	18.2625
BGER000084-RA	261	76.2308	0	0
BGER000085-RA	1342	587.742	227	53.9998
BGER000086-RA	834	172.479	633	513.122
BGER000087-RA	1374	619.742	3	0.676805
BGER000088-RA	1032	277.742	0	0
BGER000089-RA	543	112.117	0	0
