target_id	length	eff_length	est_counts	tpm
BGER000001-RA	1610	1128.51	56	1.79989
BGER000002-RA	279	42.687	19	16.1444
BGER000003-RA	633	182.056	56	11.157
BGER000004-RA	850	371.36	125	12.209
BGER000005-RA	354	38.2551	12	11.3778
BGER000006-RA	1584	1102.51	104	3.42148
BGER000007-RA	1170	688.514	61	3.21352
BGER000008-RA	3057	2575.51	131	1.8449
BGER000009-RA	1167	685.514	36	1.90481
BGER000010-RA	2030	1548.51	62	1.45225
BGER000011-RA	1332	850.514	2	0.085293
BGER000012-RA	2308	1826.51	213	4.22981
BGER000013-RA	2334	1852.51	15	0.293694
BGER000014-RA	5616	5134.51	6	0.0423854
BGER000015-RA	1802	1320.51	20	0.549353
BGER000016-RA	588	151.981	45	10.7396
BGER000017-RA	3297	2815.51	151	1.94529
BGER000018-RA	207	55.12	19	12.5029
BGER000019-RA	6354	5872.51	412	2.54471
BGER000020-RA	2793	2311.51	0	0
BGER000021-RA	1254	772.514	172	8.07582
BGER000022-RA	1047	565.514	204	13.0843
BGER000023-RA	2395	1913.51	30	0.568662
BGER000024-RA	279	42.687	0	0
BGER000025-RA	1149	667.514	7	0.380367
BGER000026-RA	909	428.684	223	18.8683
BGER000027-RA	1271	789.514	411	18.8819
BGER000028-RA	960	478.816	0	0
BGER000029-RA	1023	541.514	74	4.95663
BGER000030-RA	388	50.5625	3	2.15207
BGER000031-RA	1318	836.514	87	3.77234
BGER000032-RA	966	484.816	0	0
BGER000033-RA	648	193.676	0	0
BGER000034-RA	5152	4670.51	102.194	0.793645
BGER000035-RA	636	184.333	29	5.70638
BGER000036-RA	1815	1333.51	271	7.37117
BGER000037-RA	3132	2650.51	125	1.71058
BGER000038-RA	450	79.0136	0	0
BGER000039-RA	3421	2939.51	25.9723	0.320479
BGER000040-RA	906	425.684	2	0.170415
BGER000041-RA	2733	2251.51	147.711	2.37959
BGER000042-RA	2384	1902.51	231.289	4.40952
BGER000043-RA	714	246.442	9	1.32462
BGER000044-RA	564	137.718	0	0
BGER000045-RA	1110	628.514	25	1.44275
BGER000046-RA	2307	1825.51	31	0.615944
BGER000047-RA	324	26.6219	0	0
BGER000048-RA	537	122.68	0	0
BGER000049-RA	1047	565.514	2	0.128278
BGER000050-RA	1098	616.514	1	0.0588331
BGER000051-RA	474	90.8545	0	0
BGER000052-RA	1572	1090.51	20	0.665217
BGER000053-RA	411	60.2678	9	5.41654
BGER000054-RA	1299	817.514	47	2.08529
BGER000055-RA	1638	1156.51	44.2286	1.38713
BGER000056-RA	456	81.8729	7	3.10115
BGER000057-RA	1743	1261.51	56	1.61013
BGER000058-RA	953	471.959	47	3.61209
BGER000059-RA	1173	691.514	0	0
BGER000060-RA	543	126.078	0	0
BGER000061-RA	342	34.1622	15.9216	16.9046
BGER000062-RA	570	140.989	0	0
BGER000063-RA	693	229.101	0	0
BGER000064-RA	757	284.442	2	0.255036
BGER000065-RA	357	39.161	8	7.40971
BGER000066-RA	885	405.228	36	3.22231
BGER000067-RA	1017	535.514	0	0
BGER000068-RA	867	387.786	1	0.0935346
BGER000069-RA	686	223.496	92	14.9308
BGER000070-RA	1686	1204.51	146	4.39649
BGER000071-RA	996	514.566	0	0
BGER000072-RA	276	43.5238	0	0
BGER000073-RA	586	150.655	488	117.49
BGER000074-RA	969	487.816	42	3.1229
BGER000075-RA	177	79.3636	23	10.5117
BGER000076-RA	1119	637.514	6	0.341371
BGER000077-RA	213	58.9615	2	1.23034
BGER000078-RA	993	511.617	5	0.354478
BGER000079-RA	1549	1067.51	178	6.04799
BGER000080-RA	3908	3426.51	810.993	8.58479
BGER000081-RA	1530	1048.51	24	0.830236
BGER000082-RA	561	136.06	11	2.93242
BGER000083-RA	909	428.684	20	1.69222
BGER000084-RA	261	54.8525	0	0
BGER000085-RA	1342	860.514	24	1.01162
BGER000086-RA	834	356.05	59	6.01043
BGER000087-RA	1374	892.514	0	0
BGER000088-RA	1032	550.514	0	0
BGER000089-RA	543	126.078	0	0
BGER000090-RA	1061	579.514	288	18.0257
BGER000091-RA	225	64.2069	0	0
BGER000092-RA	2790	2308.51	0	0
BGER000093-RA	222	63.3929	1.5	0.858254
BGER000094-RA	222	63.3929	0	0
BGER000095-RA	222	63.3929	0	0
BGER000096-RA	222	63.3929	1.5	0.858254
BGER000097-RA	1078	596.514	8	0.486445
BGER000098-RA	783	308.21	9	1.05916
BGER000099-RA	1044	562.514	12	0.773771
BGER000100-RA	912	431.684	85	7.14196
BGER000101-RA	419	64.0566	151	85.5022
BGER000102-RA	2859	2377.51	340.869	5.20031
BGER000103-RA	973	491.767	140	10.326
BGER000104-RA	1534	1052.51	5	0.172309
BGER000105-RA	1311	829.514	74	3.23573
BGER000106-RA	654	197.904	30	5.49833
BGER000107-RA	1224	742.514	37	1.80743
BGER000108-RA	831	353.301	17	1.7453
BGER000109-RA	660	202.346	55	9.859
BGER000110-RA	864	384.98	59	5.55876
BGER000111-RA	824	346.548	113	11.8272
BGER000112-RA	621	173.757	77.4601	16.1696
BGER000113-RA	1851	1369.51	34.0055	0.900633
BGER000114-RA	705	238.787	25	3.79747
BGER000115-RA	3927	3445.51	97	1.02113
BGER000116-RA	1983	1501.51	78	1.88421
BGER000117-RA	828	350.442	162	16.7673
BGER000118-RA	4470	3988.51	101	0.918491
BGER000119-RA	1711	1229.51	312.253	9.21165
BGER000120-RA	2451	1969.51	2	0.0368329
BGER000121-RA	1489	1007.51	0	0
BGER000122-RA	830	352.336	0	0
BGER000123-RA	552	131.026	1	0.276826
BGER000124-RA	1339	857.514	1	0.0422983
BGER000125-RA	6621	6139.51	160	0.945259
BGER000126-RA	552	131.026	0	0
BGER000127-RA	486	96.948	0	0
BGER000128-RA	684	221.829	13	2.12564
BGER000129-RA	1020	538.514	1	0.0673547
BGER000130-RA	1923	1441.51	56	1.40907
BGER000131-RA	867	387.786	33	3.08664
BGER000132-RA	394	53.2869	0	0
BGER000133-RA	621	173.757	0	0
BGER000134-RA	582	147.863	2	0.490609
BGER000135-RA	2154	1672.51	37	0.802411
BGER000136-RA	1002	520.514	13.2672	0.924509
BGER000137-RA	525	116	8.37021	2.61725
BGER000138-RA	1263	781.514	2	0.0928235
BGER000139-RA	1433	951.514	44	1.67727
BGER000140-RA	2232	1750.51	297	6.15397
BGER000141-RA	396	53.8924	137	92.2057
BGER000142-RA	1402	920.514	0	0
BGER000143-RA	3009	2527.51	0	0
BGER000144-RA	1119	637.514	0	0
BGER000145-RA	3018	2536.51	12	0.171597
BGER000146-RA	624	175.933	27	5.56649
BGER000147-RA	333	29.9926	1	1.20934
BGER000148-RA	2621	2139.51	18	0.305156
BGER000149-RA	2187	1705.51	11	0.233939
BGER000150-RA	1392	910.514	401	15.9743
BGER000151-RA	1820	1338.51	177	4.7964
BGER000152-RA	2303	1821.51	11	0.219041
BGER000153-RA	2305	1823.51	11	0.2188
BGER000154-RA	785	309.99	122	14.275
BGER000155-RA	1716	1234.51	55	1.61596
BGER000156-RA	2253	1771.51	50	1.02374
BGER000157-RA	1002	520.514	44	3.06609
BGER000158-RA	305	25.1098	0	0
BGER000159-RA	1350	868.514	49	2.04637
BGER000160-RA	507	107.278	14.9681	5.06082
BGER000161-RA	1110	628.514	14	0.807937
BGER000162-RA	1716	1234.51	2.24356	0.0659183
BGER000163-RA	222	63.3929	0	0
BGER000164-RA	1494	1012.51	166	5.94664
BGER000165-RA	3663	3181.51	308.851	3.52111
BGER000166-RA	404	57.2424	8	5.06917
BGER000167-RA	720	251.844	0	0
BGER000168-RA	360	40.1655	1	0.903049
BGER000169-RA	303	25.4154	2	2.85429
BGER000170-RA	1710	1228.51	49	1.44671
BGER000171-RA	1947	1465.51	0	0
BGER000172-RA	1818	1336.51	157	4.2608
BGER000173-RA	1317	835.514	193.274	8.39045
BGER000174-RA	1455	973.514	288	10.7304
BGER000175-RA	537	122.68	20	5.91317
BGER000176-RA	942	461.192	3.89288	0.306164
BGER000177-RA	929	448.42	57	4.61057
BGER000178-RA	1880	1398.51	269	6.9767
BGER000179-RA	393	52.8846	14	9.60204
BGER000180-RA	1958	1476.51	93	2.2846
BGER000181-RA	378	48.4114	5	3.74617
BGER000182-RA	231	67.9333	9	4.80534
BGER000183-RA	471	89.0879	1	0.407142
BGER000184-RA	435	71.1207	0	0
BGER000185-RA	336	31.5431	0	0
BGER000186-RA	465	86.082	0	0
BGER000187-RA	2052	1570.51	17	0.392619
BGER000188-RA	471	89.0879	0	0
BGER000189-RA	444	75.9901	2	0.954635
BGER000190-RA	963	481.816	0	0
